Country,Authority,Date,Issued Fine?,Fine,Controller,QuotedArt,Type,Summary,Info
ITALY,Italian Data Protection Authority (Garante),7/13/20,Yes,800000,Iliad Italia S.p.A.,"Art. 5 GDPR, Art. 25 GDPR",Non-compliance with general data processing principles,"The fine relates to data protection infringements concerning the processing of customer data for the activation of SIM cards and the manner in which payment data was recorded. In addition, the data protection authority stated that the company had violated the principles of lawfulness, fairness and transparency as well as the integrity and confidentiality with regard to the processing of personal data for direct marketing purposes and the storage of customer data in the personal area of its website.",https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9435807
SPAIN,Spanish Data Protection Authority (aepd),7/10/20,Yes,1000,Centro Internacional De Crecimiento Laboral Y Profesional S.L.,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,Sending commercial messages without consent and without the possibility to object.,https://www.aepd.es/es/documento/ps-00149-2020.pdf
NORWAY,Norwegian Supervisory Authority (Datatilsynet),7/10/20,Yes,46660,Municipality of Rælingen,"Art. 32 GDPR, Art. 35 GDPR",Insufficient technical and organisational measures to ensure information security,"Fine for the processing of children's health data in connection with disability through the digital learning platform 'Showbie'. The Municipality had failed to carry out a Data Protection Impact Assessment ('DPIA') in accordance with Article 35 of the General Data Protection Regulation (Regulation (EU) 2016/679) ('GDPR') prior to the start of the processing and had not taken adequate technical and organisational measures in accordance with Article 32 of the GDPR, resulting in an increased risk of unauthorised access to the personal data of the pupils.",https://www.datatilsynet.no/contentassets/9d5792264c884f3a903d3981c38812ac/~-20_02191-1-vedtak-om-overtredelsesgebyr---ralingen-kommune-202444_10_1.pdf
POLAND,Polish National Personal Data Protection Office (UODO),7/10/20,Yes,3400,East Power Sp. z o.o.,"Art. 31 GDPR, Art. 58 GDPR",Insufficient cooperation with supervisory authority,"After three subpoenas to East Power, in which the latter failed to provide sufficient explanations on a direct marketing complaint, the data protection authority found that East Power had deliberately obstructed the course of the procedure or at least failed to comply with its obligations to cooperate with the supervisory authority.",https://uodo.gov.pl/decyzje/DKE.561.1.2020
SPAIN,Spanish Data Protection Authority (aepd),7/10/20,Yes,1500,Auto Desguaces Iglesias S.L.,Art. 5 GDPR,Non-compliance with general data processing principles,The company had installed surveillance cameras that recorded the public road and therefore violated the principle of data minimization.,https://www.aepd.es/es/documento/ps-00004-2020.pdf
SPAIN,Spanish Data Protection Authority (aepd),7/10/20,Yes,5000,Global Business Travel Spain SLU,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,"The fine was preceded by an employee's access to health data of a person concerned. In the course of its investigations, the Data Protection Authority found that Global Business Travel Spain, as data controller, had infringed Article 32(2) and (4) of the GDPR by failing to take adequate technical and organisational measures to protect the data from unauthorised disclosure.",https://www.aepd.es/es/documento/ps-00296-2020.pdf
SPAIN,Spanish Data Protection Authority (aepd),7/10/20,Yes,12000,"Vodafone España, SAU",Art. 5 GDPR,Non-compliance with general data processing principles,"Fines for violation of Art. 5 (1) d) GDPR for changing the customer's master data into the name of a third party, the ex-spouse of the customer.",https://www.aepd.es/es/documento/ps-00139-2020.pdf
SPAIN,Spanish Data Protection Authority (aepd),7/10/20,Yes,5000,School Fitness Holiday & Franchising S.L.,Art. 5 GDPR,Non-compliance with general data processing principles,Breach of transparency principle. No further information available at the moment.,https://www.aepd.es/es/documento/ps-00135-2020.pdf
SPAIN,Spanish Data Protection Authority (aepd),7/10/20,Yes,55000,Xfera Moviles S.A.,"Art. 5 GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,"The company had changed a contract for a mobile phone connection to a new owner, whereby the personal data of a data subject such as his address and telephone numbers were freely accessible. This constituted a violation of the principles of confidentiality and integrity.",https://www.aepd.es/es/documento/ps-000104-2020.pdf
ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),7/9/20,Yes,15000,Proleasing Motors SRL,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,"The company had failed to take adequate technical and organisational measures to ensure data security, which led to the publication on Facebook of a document containing a password for access to personal data of 436 customers.",https://www.dataprotection.ro/index.jsp?page=Comunicat_09_07_20&lang=ro
THE NETHERLANDS,Dutch Supervisory Authority for Data Protection (AP),7/6/20,Yes,830000,Bureau Krediet Registration ('BKR'),"Art. 12 GDPR, Art. 15 GDPR",Insufficient fulfilment of data subjects rights,BKR had required the payment of a fee when individuals requested access to their personal data and only provided access to their data once a year free of charge by post.,https://autoriteitpersoonsgegevens.nl/sites/default/files/atoms/files/besluit_bkr_30_juli_2019.pdf
ITALY,Italian Data Protection Authority (Garante),7/2/20,Yes,15000,Mapei S.p.A.,"Art. 5 GDPR, Art. 12 GDPR, Art. 13 GDPR, Art. 15 GDPR",Insufficient fulfilment of data subjects rights,"Mapei failed to respond to the request for access to personal data of the data subject. In addition, Mapei had left the e-mail account of the person concerned active even after the termination of the contract.",https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9445180
SPAIN,Spanish Data Protection Authority (aepd),7/2/20,Yes,5000,Xfera Moviles S.A.,"Art. 31 GDPR, Art. 58 GDPR",Insufficient cooperation with supervisory authority,The company had not cooperated sufficiently with the data protection authority.,https://www.aepd.es/es/documento/ps-00090-2020.pdf
SPAIN,Spanish Data Protection Authority (aepd),7/2/20,Yes,3600,"Saunier-Tec Mantenimientos de Calor y Frio, SL.",Art. 33 GDPR,Insufficient fulfilment of data breach notification obligations,"Although the company had taken steps to remedy a data breach, it had not informed the AEPD sufficiently. As a result, the AEPD imposed a fine of EUR 4,800, which was reduced to EUR 3,600 due to voluntary payment.",https://www.aepd.es/es/documento/ps-00122-2020.pdf
NORWAY,Norwegian Supervisory Authority (Datatilsynet),7/2/20,Yes,28000,Odin Flissenter AS,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"The company assessed the credibility of another company and thereby, according to Datatilsynet, processed personal data relating to a natural person (the owner of the company assessed) without there being a sufficient legal basis for doing so.",https://www.datatilsynet.no/aktuelt/aktuelle-nyheter-2020/varsel-om-overtredelsesgebyr-til-odin-flissenter-as/
SPAIN,Spanish Data Protection Authority (aepd),7/2/20,Yes,4000,De Vere Spain S.L.,Art. 21 GDPR,Insufficient fulfilment of data subjects rights,"The company did not respond to the data subject's request to stop processing his or her data, and therefore data subject continued to receive commercial calls.",https://www.aepd.es/es/documento/ps-00475-2019.pdf
SPAIN,Spanish Data Protection Authority (aepd),7/2/20,Yes,24000,Iberdrola Clientes,Art. 5 GDPR,Non-compliance with general data processing principles,"A third person had received an electricity bill with personal details such as name, address and bank account of another customer. The reason for this was that Iberdola Clientes was not able to guarantee adequate security measures in the processing of the personal data of the data subject, in violation of the principles of data integrity and confidentiality. The fine of €40,000 has been reduced to €24,000 due to voluntary payment.",https://www.aepd.es/es/documento/ps-00102-2020.pdf
IRELAND,Data Protection Authority of Ireland,6/30/20,Yes,40000,Tusla Child and Family Agency,Art. 33 GDPR,Insufficient fulfilment of data breach notification obligations,The organization sent a letter with abuse allegations to a third party who then uploaded it to social networks.,https://www.irishlegal.com/article/tusla-fined-40-000-in-second-gdpr-breach
GERMANY,Data Protection Authority of Baden-Wuerttemberg,6/30/20,Yes,1240000,Allgemeine Ortskrankenkasse ('AOK') (health insurance company),"Art. 5 GDPR, Art. 6 GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,"From 2015 to 2019, AOK Baden-Württemberg (insurance organization) organized competitions on various occasions and collected personal data of the participants, including their contact details and health insurance affiliation. The AOK also wanted to use this data for advertising purposes, provided the participants had given their consent. With the help of technical and organizational measures, including internal guidelines and data protection training, the AOK wanted to ensure that only data of those contest participants who had previously given their effective consent would be used for advertising purposes. However, the measures defined by the AOK did not meet the legal requirements. As a result, the personal data of more than 500 lottery participants were used for advertising purposes without their consent. Immediately after this became known, the AOK Baden-Württemberg stopped all marketing measures in order to thoroughly examine all processes.",https://www.baden-wuerttemberg.datenschutz.de/lfdi-baden-wuerttemberg-verhaengt-bussgeld-gegen-aok-baden-wuerttemberg-wirksamer-datenschutz-erfordert-regelmaessige-kontrolle-und-anpassung/
